name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York Queens,2025-03-01T00:00:00,7.4,3.9,-2.7,48.47,0,0,,0,0,33.5,22.2,185,1005.8,87.4,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-03-01T01:00:00,7.1,3.1,-1.3,55.23,0,0,,0,0,41.6,26.7,185,1004.8,79.1,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-03-01T02:00:00,6.5,2.5,-0.2,62.27,0,0,,0,0,51.8,24.4,178,1003.5,74.3,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-03-01T03:00:00,6.5,3,0.3,64.38,0,0,,0,0,44.5,20.1,189,1002.2,88.9,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-03-01T04:00:00,6.5,3.5,1.1,68.04,0,0,,0,0,44.7,16.3,194,1001.7,89.9,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,72503014732"
New York Queens,2025-03-01T05:00:00,7,4.7,0.9,65.41,0,0,,0,0,35.6,11.9,189,1001.2,95.6,16,0,0,0,10,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-03-01T06:00:00,7.1,5.2,0.8,64.37,0,0,,0,0,32.8,10,179,1000.6,90.7,16,0,0,0,10,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-03-01T07:00:00,6.6,4.2,1,67.44,0,0,,0,0,31,11.9,140,999.9,89.9,16,19,0.1,0,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,72503014732"
New York Queens,2025-03-01T08:00:00,7.8,6.3,1.7,65.28,0,0,,0,0,31.7,8.6,150,999.6,88.9,16,194,0.7,2,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-03-01T09:00:00,9.4,7.5,1.9,59.08,0,0,,0,0,33.5,13.1,191,999.5,89,16,196,0.7,2,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,72503014732"
New York Queens,2025-03-01T10:00:00,10.7,10.7,0.1,47.83,0,0,,0,0,31.7,13,206,998.8,74.3,16,610,2.2,6,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-03-01T11:00:00,12.9,12.9,0.1,41.56,0,0,,0,0,40,14.6,200,997.8,85.4,16,655,2.4,7,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-03-01T12:00:00,15.4,15.4,-0.7,33.24,0,0,,0,0,31.7,15.5,231,996.8,41.8,16,660,2.4,7,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-03-01T13:00:00,17.2,17.2,-1.1,28.86,0,0,rain,0,0,51.8,27.4,232,995.8,32.7,16,643,2.3,6,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
