BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,COLLISION_ID,VEHICLE TYPE CODE 1,CRASH_DATETIME,hour,day,month
QUEENS,11416.0,40.68592,-73.846924,"(40.68592, -73.846924)",0,0,Unspecified,4691952,Sedan,2024-01-01 06:00:00,6,0,1
QUEENS,11434.0,40.672382,-73.78574,"(40.672382, -73.78574)",1,0,Unsafe Speed,4691606,E-Scooter,2024-01-01 05:57:00,5,0,1
QUEENS,11378.0,40.73225,-73.92452,"(40.73225, -73.92452)",0,0,Failure to Yield Right-of-Way,4692223,Station Wagon/Sport Utility Vehicle,2024-01-01 15:38:00,15,0,1
QUEENS,11434.0,40.67897,-73.75985,"(40.67897, -73.75985)",0,0,Unsafe Speed,4691645,Sedan,2024-01-01 06:10:00,6,0,1
QUEENS,11378.0,40.722267,-73.90134,"(40.722267, -73.90134)",0,0,Unsafe Speed,4691680,Station Wagon/Sport Utility Vehicle,2024-01-01 02:27:00,2,0,1
QUEENS,11417.0,40.679283,-73.83263,"(40.679283, -73.83263)",1,0,Traffic Control Disregarded,4691840,Sedan,2024-01-01 10:15:00,10,0,1
QUEENS,11429.0,40.71204,-73.73646,"(40.71204, -73.73646)",2,0,Traffic Control Disregarded,4691697,Sedan,2024-01-01 00:58:00,0,0,1
QUEENS,11372.0,40.75595,-73.88165,"(40.75595, -73.88165)",0,0,Driver Inattention/Distraction,4691740,Sedan,2024-01-01 01:30:00,1,0,1
QUEENS,11355.0,40.757523,-73.82914,"(40.757523, -73.82914)",1,0,Unspecified,4691934,Sedan,2024-01-01 14:22:00,14,0,1
QUEENS,11434.0,40.690342,-73.78243,"(40.690342, -73.78243)",1,0,Unsafe Speed,4692165,Sedan,2024-01-01 00:00:00,0,0,1
QUEENS,11367.0,40.72784,-73.83284,"(40.72784, -73.83284)",1,0,Unspecified,4691954,Station Wagon/Sport Utility Vehicle,2024-01-01 16:01:00,16,0,1
QUEENS,11369.0,40.770317,-73.87079,"(40.770317, -73.87079)",2,0,Driver Inattention/Distraction,4691741,Station Wagon/Sport Utility Vehicle,2024-01-01 03:50:00,3,0,1
