datetime,temp,precip,humidity,windspeed,cloudcover,month,day_of_week,is_weekend,season
2023-01-01,16.7,0.0,65.2,18.4,1.3,1,6,1,Winter
2023-01-02,15.4,0.0,64.1,16.6,2.6,1,0,0,Winter
2023-01-03,14.7,0.0,64.5,14.8,1.3,1,1,0,Winter
2023-01-04,13.0,0.0,65.6,22.3,1.1,1,2,0,Winter
2023-01-05,13.5,0.0,71.2,22.3,12.8,1,3,0,Winter
2023-01-06,16.1,0.0,67.3,18.4,17.1,1,4,0,Winter
2023-01-07,17.8,0.0,58.4,11.2,8.0,1,5,1,Winter
2023-01-08,17.4,0.0,54.5,18.4,1.3,1,6,1,Winter
2023-01-09,16.7,0.0,53.7,9.7,1.3,1,0,0,Winter
2023-01-10,16.6,0.0,56.1,11.2,1.3,1,1,0,Winter
2023-01-11,18.1,0.0,56.4,14.8,1.3,1,2,0,Winter
2023-01-12,18.2,0.0,65.9,14.8,5.9,1,3,0,Winter
2023-01-13,17.2,0.0,65.1,22.3,12.7,1,4,0,Winter
2023-01-14,14.7,0.0,59.7,20.5,1.3,1,5,1,Winter
2023-01-15,14.2,0.0,61.7,14.8,2.5,1,6,1,Winter
2023-01-16,14.6,0.0,61.1,18.4,0.0,1,0,0,Winter
2023-01-17,15.1,0.0,59.0,18.4,8.5,1,1,0,Winter
2023-01-18,15.6,0.0,52.1,20.5,1.0,1,2,0,Winter
2023-01-19,16.6,0.0,56.6,18.4,13.6,1,3,0,Winter
2023-01-20,19.9,0.0,59.2,20.5,15.9,1,4,0,Winter
2023-01-21,19.4,0.0,59.8,18.4,7.9,1,5,1,Winter
2023-01-22,18.2,0.0,59.8,9.4,14.5,1,6,1,Winter
2023-01-23,19.1,0.0,64.8,20.5,15.9,1,0,0,Winter
2023-01-24,18.9,0.0,68.9,13.0,21.7,1,1,0,Winter
2023-01-25,17.9,0.0,65.1,14.8,40.8,1,2,0,Winter
2023-01-26,16.5,0.2,83.2,18.4,65.3,1,3,0,Winter
2023-01-27,17.8,0.0,82.1,18.4,58.7,1,4,0,Winter
2023-01-28,19.8,0.0,69.7,14.8,4.2,1,5,1,Winter
2023-01-29,21.9,0.0,61.3,25.9,7.7,1,6,1,Winter
2023-01-30,18.6,0.0,75.6,14.8,24.6,1,0,0,Winter
2023-01-31,16.9,0.0,75.6,18.4,25.5,1,1,0,Winter
2023-02-01,16.8,0.0,64.4,20.5,6.2,2,2,0,Winter
2023-02-02,17.0,0.0,50.3,14.8,16.9,2,3,0,Winter
2023-02-03,18.2,0.0,49.5,20.5,1.7,2,4,0,Winter
2023-02-04,19.2,0.0,50.1,13.0,1.3,2,5,1,Winter
