datetime,temp,precip,humidity,windspeed,cloudcover,month,day_of_week,is_weekend,season,temp_range,day_length,is_clear,is_rainy,is_cloudy,is_snowy,has_precipitation,month_sin,month_cos,day_of_week_sin,day_of_week_cos
2023-01-01,16.7,0.0,65.2,18.4,1.3,1,6,1,Winter,14.0,10.771944444444445,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-02,15.4,0.0,64.1,16.6,2.6,1,0,0,Winter,14.0,10.7775,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2023-01-03,14.7,0.0,64.5,14.8,1.3,1,1,0,Winter,11.7,10.783333333333333,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2023-01-04,13.0,0.0,65.6,22.3,1.1,1,2,0,Winter,12.0,10.79,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2023-01-05,13.5,0.0,71.2,22.3,12.8,1,3,0,Winter,11.0,10.797222222222222,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2023-01-06,16.1,0.0,67.3,18.4,17.1,1,4,0,Winter,14.0,10.804444444444444,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2023-01-07,17.8,0.0,58.4,11.2,8.0,1,5,1,Winter,15.0,10.8125,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2023-01-08,17.4,0.0,54.5,18.4,1.3,1,6,1,Winter,14.0,10.821111111111112,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-09,16.7,0.0,53.7,9.7,1.3,1,0,0,Winter,15.8,10.829722222222221,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2023-01-10,16.6,0.0,56.1,11.2,1.3,1,1,0,Winter,17.2,10.839166666666667,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2023-01-11,18.1,0.0,56.4,14.8,1.3,1,2,0,Winter,15.899999999999999,10.848888888888888,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2023-01-12,18.2,0.0,65.9,14.8,5.9,1,3,0,Winter,14.100000000000001,10.859166666666667,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2023-01-13,17.2,0.0,65.1,22.3,12.7,1,4,0,Winter,10.5,10.869722222222222,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2023-01-14,14.7,0.0,59.7,20.5,1.3,1,5,1,Winter,13.0,10.880555555555556,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2023-01-15,14.2,0.0,61.7,14.8,2.5,1,6,1,Winter,13.0,10.892222222222221,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-16,14.6,0.0,61.1,18.4,0.0,1,0,0,Winter,15.0,10.903888888888888,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2023-01-17,15.1,0.0,59.0,18.4,8.5,1,1,0,Winter,14.0,10.91611111111111,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2023-01-18,15.6,0.0,52.1,20.5,1.0,1,2,0,Winter,16.0,10.928611111111111,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2023-01-19,16.6,0.0,56.6,18.4,13.6,1,3,0,Winter,16.0,10.941666666666666,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2023-01-20,19.9,0.0,59.2,20.5,15.9,1,4,0,Winter,17.0,10.955,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2023-01-21,19.4,0.0,59.8,18.4,7.9,1,5,1,Winter,17.1,10.96888888888889,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2023-01-22,18.2,0.0,59.8,9.4,14.5,1,6,1,Winter,13.0,10.983055555555556,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-23,19.1,0.0,64.8,20.5,15.9,1,0,0,Winter,13.100000000000001,10.997222222222222,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0
