name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York Queens,2025-02-01T00:00:00,9.1,7.2,6.7,84.85,0.196,100,rain,0,0,25.6,12.3,238,1002.4,95.1,8.3,0,0,0,,"Rain, Overcast",rain,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T01:00:00,8.8,6.8,6.7,86.6,0.118,100,rain,0,0,33.5,12,287,1002.3,100,6.6,0,0,0,,"Rain, Overcast",rain,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T02:00:00,7.6,5.9,5.4,86.07,0,0,,0,0,11.5,9.4,340,1002.7,100,6.6,0,0,0,,Overcast,cloudy,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T03:00:00,6.6,4,4.3,85.66,0,0,,0,0,19.8,12.8,325,1003.2,100,10.5,0,0,0,,Overcast,cloudy,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T04:00:00,6.6,2.6,2.7,76.36,0,0,,0,0,37.1,24.8,1,1003.5,95.6,16,0,0,0,,Overcast,cloudy,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T05:00:00,4.6,-0.5,1,77.57,0,0,,0,0,48.3,30.4,358,1004.5,100,16,0,0,0,,Overcast,cloudy,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T06:00:00,4,-0.7,0,75.19,0,0,,0,0,37.4,24.2,346,1007.3,95.6,16,0,0,0,,Overcast,cloudy,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T07:00:00,3.7,-1,-0.7,73.16,0,0,,0,0,46.8,23.7,350,1009,95.6,16,1,0,0,,Overcast,cloudy,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T08:00:00,3.2,-1.8,-1.5,71.18,0,0,,0,0,47.3,26,350,1011,95.1,16,26,0.1,0,,Overcast,cloudy,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T09:00:00,2.6,-2.8,-2.6,68.89,0,0,,0,0,54.5,26.6,350,1013.8,90.7,16,38,0.1,0,,Overcast,cloudy,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T10:00:00,2.2,-3.3,-4.8,59.98,0,0,,0,0,45.7,26.5,355,1016.3,90.7,16,46,0.2,0,,Overcast,cloudy,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T11:00:00,2.9,-1.9,-5.1,55.77,0,0,,0,0,40.5,22.4,355,1018.5,90.7,16,70,0.3,1,,Overcast,cloudy,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T12:00:00,3,-2.3,-6.4,50.34,0,0,,0,0,42.7,26.7,335,1019.4,88.9,16,39,0.1,0,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T13:00:00,3.4,-1.5,-7.3,45.36,0,0,,0,0,33.2,24.5,341,1020.5,50,16,37,0.1,0,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T14:00:00,3.2,-1.9,-9.7,38.14,0,0,,0,0,35.3,26.7,345,1021.2,22.8,16,34,0.1,0,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T15:00:00,3.2,-1,-11.5,33.03,0,0,,0,0,31.5,19,308,1022.6,22.8,16,33,0.1,0,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T16:00:00,2.7,-2.7,-12.6,31.41,0,0,,0,0,44.2,27,316,1024.3,22.8,16,24,0.1,0,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T17:00:00,1.4,-4.5,-13.5,32.15,0,0,,0,0,41.1,28,315,1026.2,22.8,16,4,0,0,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T18:00:00,0.3,-5.7,-15.6,29.17,0,0,,0,0,41,27.2,317,1027.7,0,16,0,0,0,,Clear,clear-night,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T19:00:00,-0.5,-6.9,-17.8,25.65,0,0,,0,0,43.5,28.4,336,1029.1,0,16,0,0,0,,Clear,clear-night,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T20:00:00,-1.5,-7.6,-17.8,27.7,0,0,,0,0,39.4,22.7,337,1030.3,0,16,0,0,0,,Clear,clear-night,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T21:00:00,-2.8,-8.8,-15,38.71,0,0,,0,0,34.5,19.8,20,1031,0,16,0,0,0,,Clear,clear-night,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T22:00:00,-3.7,-9.8,-14.5,43.12,0,0,,0,0,46.4,19.2,6,1032.6,0,16,0,0,0,,Clear,clear-night,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-01T23:00:00,-4.3,-10.4,-14.7,43.98,0,0,,0,0,33.9,18.9,4,1032.9,0,16,0,0,0,,Clear,clear-night,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T00:00:00,-5.1,-11.4,-15.3,44.95,0,0,,0,0,38.9,18.3,15,1034,0,16,0,0,0,,Clear,clear-night,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T01:00:00,-6.3,-13.1,-16.1,45.66,0,0,,0,0,33.5,19.8,7,1033.8,0,16,0,0,0,,Clear,clear-night,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T02:00:00,-6.8,-13.8,-16.1,47.43,0,0,,0,0,37.1,20.5,27,1034.4,0,16,0,0,0,,Clear,clear-night,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T03:00:00,-7.3,-14.6,-16.3,48.64,0,0,,0,0,24.5,20.3,29,1035.2,0,16,0,0,0,,Clear,clear-night,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T04:00:00,-7.6,-14.2,-15.6,52.67,0,0,,0,0,29.5,16.8,32,1035.3,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T05:00:00,-7.3,-13.6,-15.6,51.55,0,0,,0,0,20.2,15.6,46,1035.8,57,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T06:00:00,-7.3,-13.3,-15.3,52.89,0,0,,0,0,20.5,14.5,36,1036,57,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T07:00:00,-7.3,-13.1,-14.7,55.6,0,0,,0,0,20.2,13.7,47,1036.4,74.3,16,3,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T08:00:00,-7.3,-12.8,-14,58.87,0,0,,0,0,20.2,12.6,25,1036.9,74.3,16,37,0.1,0,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T09:00:00,-6.1,-11.8,-13.4,56.22,0,0,,0,0,20.9,14.4,41,1036.5,82.5,16,80,0.3,1,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T10:00:00,-4.9,-9.4,-12.1,57.44,0,0,,0,0,20.5,10.5,45,1036.7,88.9,16,107,0.4,1,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T11:00:00,-3.8,-7.8,-11.7,54.26,0,0,,0,0,23,10,29,1036.2,82.5,16,105,0.4,1,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T12:00:00,-2.9,-8,-10.6,55.18,0,0,,0,0,26.6,15.2,66,1034.2,74.3,16,92,0.3,1,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T13:00:00,-2,-6.9,-9.3,57.1,0,0,,0,0,29.9,15.6,67,1032.7,74.3,16,90,0.3,1,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T14:00:00,-1.6,-7.5,-8.6,58.97,0,0,,0,0,27.7,21.5,73,1031,79.1,16,73,0.3,1,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T15:00:00,-1,-6,-7.6,60.78,0,0,,0,0,27,17.5,68,1030.1,98.4,16,37,0.1,0,,Overcast,cloudy,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T16:00:00,-1.1,-5.4,-6.9,64.37,0,0,,0,0,27.7,13.7,64,1029.6,100,16,12,0,0,,Overcast,cloudy,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T17:00:00,-0.7,-5.4,-6.6,64.75,0,0,,0,0,25.6,15.7,69,1028,100,16,1,0,0,,Overcast,cloudy,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T18:00:00,-0.6,-4.5,-6.1,65.9,0,0,,0,0,20.9,12.3,76,1027.7,100,16,0,0,0,,Overcast,cloudy,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T19:00:00,-0.1,-4.8,-5.2,68.73,0.049,100,"rain,snow",0,0,21.6,16,85,1027,100,10.6,0,0,0,,"Snow, Rain, Overcast",snow,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T20:00:00,0.1,-3.5,-4.1,73.35,0.182,100,"rain,snow",0,0,24.1,11.6,92,1025.9,100,12.4,0,0,0,,"Snow, Rain, Overcast",rain,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T21:00:00,0.1,-3.2,-3.4,77.27,0.353,100,"rain,snow",0,0,23.8,10,88,1025,100,13.4,0,0,0,,"Snow, Rain, Overcast",rain,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T22:00:00,0.6,-3.1,-2.1,81.82,0.685,100,"rain,snow",0,0,19.1,12.1,301,1024.6,100,7.4,0,0,0,,"Snow, Rain, Overcast",rain,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-02T23:00:00,0.7,-2.1,-1.8,82.98,0.53,100,"rain,snow",0,0,15.5,8.9,130,1024.1,100,11.6,0,0,0,,"Snow, Rain, Overcast",rain,"72505394728,F7223,KJFK,KLGA,74486094789,72503014732"
New York Queens,2025-02-03T00:00:00,0.5,-1.9,-1.6,86.24,0.453,100,"rain,snow",0.1,0,11.9,7.1,356,1023.3,100,12.4,0,0,0,,"Snow, Rain, Overcast",snow,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-03T01:00:00,0.8,-1.4,-1.3,85.77,0.07,100,"rain,snow",0.5,3,13.3,7,351,1022.7,100,14.2,0,0,0,,"Snow, Rain, Overcast",snow,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2025-02-03T02:00:00,1.2,-1.2,-1,85.3,0,0,,0,0,17.3,7.7,181,1022.3,100,14.3,0,0,0,,Overcast,cloudy,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
