name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York Queens,2023-04-01T00:00:00,11.1,11.1,7.8,79.83,0,0,,0,0,31.7,12.2,204,1012.4,95.6,16,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-04-01T01:00:00,12.5,12.5,8,74.36,0,0,,0,0,29.5,16.9,195,1011.5,100,16,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-04-01T02:00:00,13,13,7.6,69.54,0,0,,0,0,25.9,15.1,185,1010.3,100,16,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-04-01T03:00:00,12.9,12.9,7.7,70.73,0,0,,0,0,27,17.9,170,1009,100,16,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,72503014732"
New York Queens,2023-04-01T04:00:00,12,12,8.3,78.19,0,0,,0,0,28.4,18.6,160,1007.5,100,13.5,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-04-01T05:00:00,11.4,11.4,8.7,83.5,0.133,100,rain,0,0,32,17.3,159,1006.1,100,16,0,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-04-01T06:00:00,11.6,11.6,8.9,83.77,0,0,,0,0,52.6,13.6,201,1004.6,100,14.8,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-04-01T07:00:00,11.9,11.9,9.7,86.73,0,0,,0,0,64.1,21.8,175,1003.8,100,9.3,5,0,0,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,72503014732"
New York Queens,2023-04-01T08:00:00,11.4,11.4,9.9,90.25,0.067,100,rain,0,0,69.8,19.7,215,1003.5,100,8,9,0,0,,"Rain, Overcast",rain,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-04-01T09:00:00,11.3,11.3,10,92.05,2.132,100,rain,0,0,73.1,14.5,160,1001.9,100,2.3,16,0.1,0,,"Rain, Overcast",rain,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
