name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York Queens,2023-08-01T00:00:00,22.9,22.9,12.5,51.67,0,0,,0,0,13.7,8.7,354,1017.3,37.3,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T01:00:00,22.6,22.6,11.8,50.45,0,0,,0,0,17.3,15.5,339,1017.4,46.3,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T02:00:00,21.2,21.2,13,59.6,0,0,,0,0,20.2,10.7,356,1017.5,95.6,16,0,0,0,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T03:00:00,20.6,20.6,13.9,65.7,0,0,,0,0,25.2,10.7,359,1017.4,74.3,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T04:00:00,20.6,20.6,13.8,64.85,0,0,,0,0,24.5,11.1,340,1017.5,74.3,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T05:00:00,20.8,20.8,13.7,64.14,0,0,,0,0,23.8,13.3,360,1018,74.3,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T06:00:00,20.4,20.4,13,62.73,0,0,,0,0,23,16.4,360,1018.5,90.7,16,5,0,0,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T07:00:00,19.7,19.7,12.8,64.07,0,0,,0,0,24.8,15.4,360,1019.2,74.3,16,35,0.1,0,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T08:00:00,21.1,21.1,12.3,57.27,0,0,,0,0,27.7,17.3,5,1019.7,41.8,16,283,1,3,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T09:00:00,22.4,22.4,11.6,50.51,0,0,,0,0,28.8,17,37,1020.1,22.8,16,472,1.7,5,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T10:00:00,23.5,23.5,10.3,43.31,0,0,,0,0,29.9,16.9,25,1020.2,22.8,16,613,2.2,6,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T11:00:00,24,24,9,38.29,0,0,,0,0,33.5,17,45,1020.4,32.7,16,733,2.6,7,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T12:00:00,25,25,9.5,37.5,0,0,,0,0,29.5,14.6,35,1020.3,31.8,16,793,2.9,8,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T13:00:00,25.6,25.6,8.6,34.15,0,0,,0,0,27.7,13.6,345,1020,50,16,879,3.2,9,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T14:00:00,26.2,26.2,8.9,33.42,0,0,,0,0,24.8,12.8,348,1019.8,50,16,221,0.8,2,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T15:00:00,25.2,25.2,8.2,34.07,0,0,,0,0,23.4,6.3,6,1019.7,61.5,16,853,3.1,9,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T16:00:00,25.7,25.7,10.5,38.48,0,0,,0,0,23.4,16.9,274,1019.5,88.9,16,213,0.8,2,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T17:00:00,25,25,10.8,40.86,0,0,,0,0,22.7,13.8,267,1019.5,88.9,16,202,0.7,2,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T18:00:00,25.2,25.2,11,41.14,0,0,,0,0,22,12.9,295,1019,82.5,16,332,1.2,3,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T19:00:00,24.4,24.4,10.5,41.54,0,0,,0,0,23,12,65,1019.4,74.3,16,84,0.3,1,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T20:00:00,23.7,23.7,10.8,44.39,0,0,,0,0,22.7,11.5,85,1020.2,78.8,16,6,0,0,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T21:00:00,22.6,22.6,11.7,50.06,0,0,,0,0,21.2,7.8,328,1021,57,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T22:00:00,22.6,22.6,10.8,47.33,0,0,,0,0,20.9,9.2,310,1021.7,31.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-01T23:00:00,22.1,22.1,10.2,46.86,0,0,,0,0,20.2,10.2,54,1021.9,31.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-02T00:00:00,21.3,21.3,10.2,49.12,0,0,,0,0,20.2,8,31,1022,31.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-02T01:00:00,20.3,20.3,9.5,49.93,0,0,,0,0,20.2,9.4,47,1021.9,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-02T02:00:00,20,20,9.5,50.88,0,0,,0,0,19.8,5.4,33,1021.9,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-02T03:00:00,19.2,19.2,11.1,59.42,0,0,,0,0,20.2,6.1,24,1021.8,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-02T04:00:00,18.6,18.6,10.4,58.83,0,0,,0,0,20.9,9.8,24,1021.9,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-02T05:00:00,18.1,18.1,10.4,60.53,0,0,,0,0,20.9,10.7,19,1022.1,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-08-02T06:00:00,17.8,17.8,10.3,61.23,0,0,,0,0,20.5,8.8,16,1022.6,22.8,16,1,0,0,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
