name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York Queens,2022-12-01T00:00:00,5.5,0.6,-5.1,46.13,0,0,,0,0,49.7,31.6,279,1012.1,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T01:00:00,4.6,-0.2,-5.9,46.47,0,0,,0,0,47.3,28.1,280,1013,66.5,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T02:00:00,4,-1.2,-6.5,46.52,0,0,,0,0,44.8,29.9,284,1014,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T03:00:00,3.5,-1.6,-7.2,45.35,0,0,,0,0,40.1,27.1,284,1015.3,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T04:00:00,3.1,-2.2,-8.3,43.05,0,0,,0,0,45.7,27.9,278,1016.4,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T05:00:00,3.1,-1.5,-8.3,43.05,0,0,,0,0,40.9,21.3,280,1017.6,10.6,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T06:00:00,3.1,-2.4,-8.3,42.89,0,0,,0,0,43.6,29.1,275,1019,10.6,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T07:00:00,3,-1.6,-8.6,42.48,0,0,,0,0,42.5,20.6,280,1020.3,22.8,16,9,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T08:00:00,3.3,-1.4,-8.2,42.67,0,0,,0,0,35.3,22,265,1021.4,37.5,16,96,0.3,1,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T09:00:00,3.5,-1.3,-7.9,42.92,0,0,,0,0,38.9,24.5,273,1022.5,75.5,16,143,0.5,1,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T10:00:00,3.9,-0.8,-7.7,42.41,0,0,,0,0,51.8,24.5,262,1023.5,75.5,16,222,0.8,2,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T11:00:00,5,0.3,-7.8,38.94,0,0,,0,0,39,27.7,285,1024.2,90.7,16,271,1,3,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T12:00:00,5.1,0.2,-7.8,38.53,0,0,,0,0,50,30.6,289,1023.9,88.9,16,304,1.1,3,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T13:00:00,5.7,0.5,-7.5,37.86,0,0,,0,0,52.8,37.3,295,1024.3,73.5,16,327,1.2,3,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T14:00:00,6.1,1.4,-7.3,37.57,0,0,,0,0,47.9,31.3,284,1024.8,41.8,16,268,1,3,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T15:00:00,6.1,1.1,-7.3,37.57,0,0,,0,0,47.1,35,294,1025.5,22.8,16,230,0.8,2,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T16:00:00,6.3,2.2,-7.1,37.78,0,0,,0,0,48.3,25.4,284,1026.8,22.8,16,75,0.3,1,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T17:00:00,6,1.5,-7,38.78,0,0,,0,0,51.8,28.1,287,1027.9,22.8,16,10,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T18:00:00,5.3,1.1,-7.3,39.67,0,0,,0,0,41.7,23.4,300,1029,10.6,16,21,0.1,0,,Clear,clear-night,"72505394728,KJFK,E5816,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T19:00:00,4.9,0.4,-7.3,41.06,0,0,,0,0,38.9,24.5,293,1029.9,0,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T20:00:00,4.3,0.1,-7.3,42.89,0,0,,0,0,27.7,20.3,310,1030.1,0,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T21:00:00,3.8,-0.5,-6.9,45.55,0,0,,0,0,22.7,20.5,305,1030.6,0,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T22:00:00,3,-1,-7.1,47.4,0,0,,0,0,20.2,16.6,301,1030.9,0,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-12-01T23:00:00,2.5,-2.1,-7.1,49.01,0,0,,0,0,19.4,20.2,295,1031.2,22.8,15.2,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
