name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York Queens,2022-02-01T00:00:00,-4.4,-8.1,-11.6,57.41,0,0,,0,15.6,19.8,8.5,42,1031.7,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T01:00:00,-4.5,-8,-11,60.46,0,0,,0,17.14,20.5,8,29,1031.7,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T02:00:00,-4.6,-9,-11,61.06,0,0,,0,15.7,20.9,10.5,28,1032,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T03:00:00,-4.5,-8.4,-11.8,56.94,0,0,,0,15.7,19.8,9,12,1032.3,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T04:00:00,-5,-8.7,-12.7,55.14,0,0,,0,15.7,21.2,8.3,22,1032.6,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T05:00:00,-4.8,-8.7,-12.4,55.67,0,0,,0,15.4,22.3,8.7,13,1033,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T06:00:00,-5.1,-10.1,-11.9,58.83,0,0,,0,15.3,23,12.3,39,1033.3,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T07:00:00,-4.7,-9.3,-12,56.69,0,0,,0,17.07,24.5,11.3,22,1034,10.6,16,5,0,0,,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T08:00:00,-3.9,-7.3,-11.4,56.01,0,0,,0,15.3,24.5,8,14,1034.9,10.6,16,74,0.3,1,,Clear,clear-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T09:00:00,-2.7,-7.6,-11.1,52.67,0,0,,0,15.3,22.3,14.6,40,1035.1,22.8,16,249,0.9,2,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T10:00:00,-1.2,-6.6,-10.1,50.6,0,0,,0,14.7,22,19.3,44,1035.3,22.8,16,397,1.4,4,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T11:00:00,-0.4,-5.8,-8.5,54.4,0,0,,0,14.5,23.4,20.4,51,1035.3,22.8,16,497,1.8,5,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T12:00:00,0.6,-3.6,-7.5,54.98,0,0,,0,14.3,24.1,14.3,34,1035.1,41.8,16,533,1.9,5,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T13:00:00,1.4,-2.8,-6.8,54.47,0,0,,0,15.9,23.4,16,44,1034.2,41.8,16,537,1.9,5,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T14:00:00,2,-1,-6.3,54.39,0,0,,0,14.4,19.4,10.3,33,1033.5,57,16,445,1.6,4,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T15:00:00,2.2,-0.8,-6,54.69,0,0,,0,14.4,18.4,10.3,40,1033.3,57,16,342,1.2,3,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T16:00:00,2.2,-1.1,-6,55.03,0,0,,0,14.4,33.5,11.8,51,1033.1,57,16,205,0.7,2,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T17:00:00,1.8,-1.2,-5.2,59.51,0,0,,0,13.8,15.1,10.3,32,1033.1,74.3,16,43,0.2,0,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T18:00:00,1.1,-2.6,-5.1,63.26,0,0,,0,13.6,15.5,12.5,54,1033.3,88.9,16,1,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T19:00:00,0.9,-2.2,-5,64.69,0,0,,0,15.9,14.4,9.8,61,1034,90.7,16,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T20:00:00,1,-1.8,-4.6,66.25,0,0,,0,13.7,14.4,8.7,46,1034.2,95.1,16,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-02-01T21:00:00,1.2,-1.5,-4.4,66.07,0,0,,0,13.7,14.4,8.7,52,1034.2,100,16,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
