name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York Queens,2023-01-01T00:00:00,11.1,11.1,10.2,94.45,0.246,100,rain,0,0,22.3,7.9,226,1007.4,100,8.9,0,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-01-01T01:00:00,10.6,10.6,9.7,94.01,0.068,100,rain,0,0,22.7,13,229,1007.4,100,8.7,0,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-01-01T02:00:00,10.4,10.4,9.2,91.95,0.176,100,rain,0,0,27.4,16.1,243,1007,80,8.9,0,0,0,,"Rain, Partially cloudy",rain,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-01-01T03:00:00,10.9,10.9,9.5,90.77,0,0,,0,0,29.2,17.7,257,1008,57,13.3,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-01-01T04:00:00,10.8,10.8,8.9,88.23,0,0,,0,0,30.2,17,261,1008.3,26.5,13.6,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-01-01T05:00:00,10.3,10.3,8.2,86.92,0,0,,0,0,30.6,11.9,250,1008.7,31.8,12.9,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-01-01T06:00:00,9.8,7.5,7.5,85.66,0,0,,0,0,30.2,16.2,255,1009.5,31.8,11.7,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-01-01T07:00:00,9.3,7.3,7.1,86.07,0,0,,0,0,27.4,13.6,255,1010.3,32.7,13.6,1,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York Queens,2023-01-01T08:00:00,8.9,6.5,6.1,82.85,0,0,,0,0,26.6,15.3,267,1011.1,57,14,47,0.2,0,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-01-01T09:00:00,10.3,10.3,6.1,75.46,0,0,,0,0,35.3,18.3,284,1011.8,65.3,16,190,0.7,2,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-01-01T10:00:00,10.5,10.5,5.7,72.43,0,0,,0,0,30.2,17.4,286,1013.3,65.3,16,352,1.3,4,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-01-01T11:00:00,11.4,11.4,4.2,61.17,0,0,,0,0,35.3,18.6,306,1013.8,65.3,16,414,1.5,4,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
