name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York Queens,2023-07-01T00:00:00,22,22,16.9,72.93,0,0,,0,0,15.5,10.4,188,1017.8,22.8,12,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-07-01T01:00:00,21.7,21.7,16.3,71.08,0,0,,0,0,14,10.1,185,1017.6,32.7,12,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-07-01T02:00:00,21.1,21.1,15.7,71.35,0,0,,0,0,13.7,9.3,214,1017.5,22.8,12,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-07-01T03:00:00,21,21,14.6,66.79,0,0,,0,0,15.5,8.7,195,1017.2,22.8,12,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-07-01T04:00:00,20.7,20.7,15.1,70.31,0,0,,0,0,13.3,6.2,203,1017.3,22.8,12,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-07-01T05:00:00,20.5,20.5,15.8,74.3,0,0,,0,0,11.2,8.7,218,1017.5,32.7,13.1,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-07-01T06:00:00,20.4,20.4,15.9,75.2,0,0,,0,0,10.1,7.1,237,1017.7,22.8,11.8,19,0.1,0,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-07-01T07:00:00,21.4,21.4,16.8,74.95,0,0,,0,0,10.1,6.3,215,1017.8,31.8,13,79,0.3,1,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-07-01T08:00:00,22.9,22.9,16.5,67.27,0,0,,0,0,11.2,8.6,1,1018,31.8,14.4,231,0.8,2,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-07-01T09:00:00,23.9,23.9,16.3,62.64,0,0,,0,0,13.3,8.5,228,1018.3,73.7,15.5,369,1.3,4,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-07-01T10:00:00,24.6,24.6,15.8,57.99,0,0,,0,0,16.2,9.2,227,1018.1,88.9,15.5,429,1.5,4,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-07-01T11:00:00,25.5,25.5,15.7,54.63,0,0,,0,0,21.6,11.5,351,1018.3,90.7,15.7,458,1.6,5,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-07-01T12:00:00,26.8,27.3,15.7,50.59,0,0,,0,0,27.7,16.1,175,1018,65.2,15.2,757,2.7,8,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-07-01T13:00:00,26.3,26.3,16.6,55.17,0,0,,0,0,29.9,17.8,156,1017.5,57,15,758,2.7,8,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-07-01T14:00:00,27.2,27.8,16.6,52.42,0,0,,0,0,33.1,19.5,181,1017.6,61.5,13.8,689,2.5,7,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-07-01T15:00:00,26.9,27.4,16,51.27,0,0,,0,0,66.6,21.8,175,1016.8,47.1,13.5,685,2.5,7,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-07-01T16:00:00,25.9,25.9,16.3,55.2,0,0,,0,0,35.3,21.5,175,1016.3,47.1,12.3,580,2.1,6,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
