name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York Queens,2022-06-01T00:00:00,18.3,18.3,14.2,76.84,0,0,,0,0,27.7,15.5,60,1014.6,77.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-06-01T01:00:00,17.4,17.4,13.8,79.58,0,0,,0,0,27.7,18.3,71,1014.1,64.5,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-06-01T02:00:00,16.8,16.8,13.5,81.21,0,0,,0,0,27.7,21.3,51,1014.7,82.5,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-06-01T03:00:00,16.6,16.6,12.8,77.77,0,0,,0,0,35.3,22,58,1014.8,94.7,16,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,72503014732"
New York Queens,2022-06-01T04:00:00,16.1,16.1,12.5,78.75,0,0,,0,0,33.5,24.2,48,1014.8,98.2,16,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-06-01T05:00:00,15.7,15.7,12.2,79.96,0,0,,0,0,27.7,21.5,53,1015.2,100,16,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-06-01T06:00:00,15.4,15.4,12.2,81.45,0,0,,0,0,28.4,15.2,61,1015.2,90.7,16,11,0,0,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-06-01T07:00:00,15.7,15.7,12.2,79.96,0,0,,0,0,29.2,13.5,54,1015.7,90.7,16,50,0.2,1,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-06-01T08:00:00,15.9,15.9,12.5,79.86,0,0,,0,0,29.5,17.5,46,1015.9,95.1,16,73,0.3,1,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-06-01T09:00:00,16.1,16.1,12.3,78.16,0,0,,0,0,29.2,11.8,51,1016.1,100,16,108,0.4,1,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-06-01T10:00:00,16.7,16.7,12.2,75.14,0,0,,0,0,29.2,11.1,58,1016,100,16,199,0.7,2,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
