name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York Queens,2023-03-01T00:00:00,3.5,0.3,-1.1,72.09,0,0,,0,2.5,23.8,12.5,305,1017.5,41.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-03-01T01:00:00,3.3,-0.1,-1.5,70.89,0,0,,0,2.5,24.1,13.9,299,1018.4,32.7,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-03-01T02:00:00,2.6,-0.7,-1.6,73.89,0,0,,0,2.5,21.2,12.5,305,1018.7,12.2,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-03-01T03:00:00,2.3,-1.4,-2.1,72.9,0,0,,0,2.5,21.2,14,312,1019.1,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-03-01T04:00:00,1.8,-1.1,-2.7,72.14,0,0,,0,2.5,22,9.9,337,1019.8,47.4,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-03-01T05:00:00,1.6,-0.8,-3.1,71.01,0,0,,0,3.2,22,7.9,359,1020.4,74.3,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-03-01T06:00:00,0.7,-1.9,-3.7,72.66,0,0,,0,3.2,20.9,7.9,51,1020.6,41.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-03-01T07:00:00,0.8,-2.8,-3.4,73.44,0,0,,0,3.2,20.2,11.8,32,1020.7,74.3,16,35,0.1,0,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-03-01T08:00:00,1.8,-1.8,-3.1,70.06,0,0,,0,3.2,21.6,12.6,53,1021.1,74.3,16,168,0.6,2,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-03-01T09:00:00,3.1,-0.8,-2.7,65.8,0,0,,0,3.2,20.2,16.7,60,1021,74.3,16,383,1.4,4,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
