name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York Queens,2023-05-01T00:00:00,15.2,15.2,14.7,97.24,0.296,100,rain,0,0,61.2,9.7,128,982.9,100,3.1,0,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-05-01T01:00:00,14.4,14.4,14,97.47,0.065,100,rain,0,0,54.4,10.8,200,982.3,100,1.1,0,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-05-01T02:00:00,13.7,13.7,13,95.46,0.748,100,rain,0,0,42.5,27.8,282,982.6,100,7.4,0,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,72503014732"
New York Queens,2023-05-01T03:00:00,12.3,12.3,9.6,83.49,0.024,100,rain,0,0,54.7,35.1,281,984.6,100,16,0,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-05-01T04:00:00,11,11,6.9,75.79,0,0,,0,0,48.7,30.3,274,986.7,90.7,16,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-05-01T05:00:00,10.5,10.5,5.6,71.45,0,0,,0,0,40.6,21.6,275,987.4,63.6,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-05-01T06:00:00,10.2,10.2,5,70.09,0,0,,0,0,49.6,25.8,265,989.5,90.7,16,7,0,0,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-05-01T07:00:00,10.3,10.3,4.7,68.35,0,0,,0,0,46.4,27.5,252,991.1,90.7,16,35,0.1,0,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-05-01T08:00:00,10.8,10.8,3.5,61.02,0,0,,0,0,47.5,28.9,263,992.3,31.8,16,254,0.9,3,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-05-01T09:00:00,12.6,12.6,3.2,52.97,0,0,,0,0,46.5,28,265,993,22.8,16,475,1.7,5,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-05-01T10:00:00,13.5,13.5,3.9,52.12,0,0,,0,0,48.3,27.7,240,993.3,36.4,16,529,1.9,5,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
