name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York Queens,2022-11-01T00:00:00,15.3,15.3,13.6,89.71,0.957,100,rain,0,0,27.7,10.6,205,1016.5,100,10.2,0,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T01:00:00,15.3,15.3,13.4,88.57,0.647,100,rain,0,0,24.5,11.6,212,1016.6,100,12.7,0,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T02:00:00,15.3,15.3,13.8,91.01,0.198,100,rain,0,0,22.7,8,199,1016.5,100,13,0,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T03:00:00,15.4,15.4,13.8,90.39,0,0,,0,0,34.9,4.2,118,1016.1,100,14.2,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T04:00:00,15.5,15.5,13.8,89.51,1.163,100,rain,0,0,28.8,10.2,199,1016.5,100,6.2,0,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T05:00:00,15,15,13.9,93.2,2.831,100,rain,0,0,25.9,7.7,9,1015.8,100,12.9,0,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T06:00:00,15,15,13.9,92.95,0,0,,0,0,22.7,7.9,156,1015.4,100,14.1,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T07:00:00,15.7,15.7,14.2,90.85,0,0,,0,0,16.9,9.4,201,1015.5,100,14.7,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T08:00:00,15.7,15.7,14.4,92.16,0,0,,0,0,16.6,12.5,206,1016,100,10.8,7,0,0,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T09:00:00,15.8,15.8,14.4,91.48,0,0,,0,0,15.1,11.9,217,1016.2,100,12.1,21,0.1,0,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,72503014732"
New York Queens,2022-11-01T10:00:00,16.6,16.6,14.5,87.27,0,0,,0,0,16.2,11.5,243,1016.2,95.6,12.9,130,0.5,1,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T11:00:00,16.9,16.9,14.5,85.56,0,0,,0,0,19.8,13.7,262,1016.3,95.1,13.5,178,0.6,2,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T12:00:00,17.9,17.9,14.3,79.3,0,0,,0,0,21.2,9.1,282,1015.9,90.7,14,428,1.5,4,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T13:00:00,18.5,18.5,14.4,77.18,0,0,,0,0,22,16.8,245,1015.5,95.6,14.8,168,0.6,2,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T14:00:00,19.1,19.1,13.9,72,0,0,,0,0,23,17.2,263,1015,88.9,16,243,0.9,2,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T15:00:00,20.1,20.1,13.8,67.37,0,0,,0,0,24.1,16.1,315,1014.6,90.7,16,260,0.9,3,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T16:00:00,19.6,19.6,13.5,67.94,0,0,,0,0,22,13.8,306,1014.8,90.7,16,158,0.6,2,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T17:00:00,19.9,19.9,12.8,63.61,0,0,,0,0,20.2,16.6,325,1015.2,90.7,16,91,0.3,1,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T18:00:00,19,19,12.9,68.03,0,0,,0,0,18.7,15.5,325,1015.8,74.3,16,11,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T19:00:00,18.3,18.3,13.2,72.36,0,0,,0,0,16.9,14,305,1017,41.8,16,25,0.1,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,E5816,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T20:00:00,18.2,18.2,13.3,73.39,0,0,,0,0,18,17.3,301,1017.6,59,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T21:00:00,17.7,17.7,12.8,72.61,0,0,,0,0,19.8,16.2,305,1018.1,32.7,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T22:00:00,17.1,17.1,12.6,74.55,0,0,,0,0,22,14.9,309,1018.7,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-01T23:00:00,16.9,16.9,12.6,75.6,0,0,,0,0,23,13.9,315,1019.1,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-02T00:00:00,16.8,16.8,12.5,75.51,0,0,,0,0,23.8,13.9,310,1019.2,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-02T01:00:00,16.3,16.3,12.5,77.94,0,0,,0,0,24.1,14.8,303,1019.3,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-02T02:00:00,15.8,15.8,12.2,79.38,0,0,,0,0,24.8,10.3,310,1019.7,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-02T03:00:00,15.7,15.7,11.9,78.34,0,0,,0,0,27.7,11.5,314,1020.5,12.2,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2022-11-02T04:00:00,14.8,14.8,11.7,81.52,0,0,,0,0,27.4,10.9,331,1021,12.2,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
