name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York Queens,2023-10-01T00:00:00,16.8,16.8,14.6,86.69,0,0,,0,0,23.8,13.8,336,1021.3,57,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T01:00:00,16.6,16.6,14.3,86.03,0,0,,0,0,24.5,11.8,357,1021.5,41.8,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T02:00:00,16.4,16.4,14.4,87.58,0,0,,0,0,24.8,9.9,355,1021.4,32.7,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T03:00:00,16.5,16.5,14.7,89.25,0,0,,0,0,26.3,13.7,349,1021,12.7,16,0,0,0,10,Clear,clear-night,"D9152,KJFK,KLGA,74486094789,72503014732"
New York Queens,2023-10-01T04:00:00,16.1,16.1,14.3,88.81,0,0,,0,0,27,13.9,333,1020.9,10.6,16,0,0,0,10,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T05:00:00,16.1,16.1,14.3,88.81,0,0,,0,0,27.4,12.3,5,1020.8,10.6,16,0,0,0,10,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T06:00:00,16.1,16.1,13.9,86.44,0,0,,0,0,27,10,5,1021.3,10.6,16,0,0,0,10,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T07:00:00,15.5,15.5,13.8,89.39,0,0,,0,0,26.6,8.2,20,1022.1,32.7,15.7,12,0,0,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T08:00:00,16.1,16.1,13.5,84.75,0,0,,0,0,27.4,11.9,345,1022.6,57,14.2,102,0.4,1,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T09:00:00,17.2,17.2,13.5,79.04,0,0,,0,0,28.8,12.4,360,1022.8,57,15.7,257,0.9,3,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T10:00:00,18.8,18.8,13.5,71.68,0,0,,0,0,29.9,16.5,3,1022.7,57,15.7,460,1.7,5,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T11:00:00,20.5,20.5,13.9,65.48,0,0,,0,0,30.6,16.1,359,1022.7,41.8,15.7,580,2.1,6,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T12:00:00,21.9,21.9,13.6,59.17,0,0,,0,0,31,20.2,359,1022.4,41.8,16,659,2.4,7,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T13:00:00,23.1,23.1,13.5,54.83,0,0,,0,0,25.9,15.1,345,1021.9,41.8,16,654,2.4,7,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T14:00:00,24,24,14,53.85,0,0,,0,0,29.5,16.9,340,1021,41.8,16,608,2.2,6,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T15:00:00,24.2,24.2,14.1,53.43,0,0,,0,0,26.3,14.3,355,1020.6,41.8,16,515,1.9,5,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T16:00:00,24.5,24.5,13.4,50.08,0,0,,0,0,23.8,17.1,2,1020.2,41.8,16,371,1.3,4,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T17:00:00,24.6,24.6,14,51.45,0,0,,0,0,27.7,16,1,1020,22.8,16,193,0.7,2,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T18:00:00,23.8,23.8,14.4,55.89,0,0,,0,0,17.3,15,4,1020.2,22.8,16,26,0.1,0,10,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T19:00:00,23.2,23.2,14.1,56.87,0,0,,0,0,17.3,12.2,349,1020.4,22.8,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T20:00:00,22,22,14.3,61.62,0,0,,0,0,19.8,10,2,1020.6,22.8,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T21:00:00,21.8,21.8,14,61.12,0,0,,0,0,20.5,10.1,11,1020.8,22.8,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T22:00:00,21.3,21.3,14,63.02,0,0,,0,0,19.8,8.9,354,1020.9,22.8,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-01T23:00:00,19.9,19.9,14,68.9,0,0,,0,0,18.4,7.5,38,1020.9,10.6,16,0,0,0,10,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-02T00:00:00,19.6,19.6,14.6,73.08,0,0,,0,0,18.4,10.5,11,1021,10.6,16,0,0,0,10,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-02T01:00:00,19.1,19.1,14.4,74.05,0,0,,0,0,19.4,3.9,342,1020.8,10.6,16,0,0,0,10,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-02T02:00:00,19.5,19.5,14.9,74.93,0,0,,0,0,22,10.9,10,1021,0,16,0,0,0,10,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-02T03:00:00,19,19,14.6,75.65,0,0,,0,0,23,10.7,355,1021.3,8.2,16,0,0,0,10,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-02T04:00:00,19.2,19.2,14.7,75.02,0,0,,0,0,23,6.5,360,1021.4,49.2,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-10-02T05:00:00,18,18,14.9,81.83,0,0,,0,0,22,8.4,11,1021.6,31.8,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
