name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New york queens,2024-07-01T00:00:00,22.7,22.7,15.7,64.37,0,0,,0,0,35.3,26.1,329,1012.5,88.9,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T01:00:00,21.6,21.6,13,57.84,0,0,,0,0,43.2,21.7,320,1012.4,56.4,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T02:00:00,20.8,20.8,11.7,55.96,0,0,,0,0,38.9,19.6,329,1012.7,51.6,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T03:00:00,19.5,19.5,11.4,59.3,0,0,,0,0,50.9,24.4,325,1013.3,57,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T04:00:00,18.8,18.8,11.6,62.95,0,0,,0,0,35.6,17.8,325,1013.9,31.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T05:00:00,18.3,18.3,11.7,65.34,0,0,,0,0,34.2,17.2,337,1014.4,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T06:00:00,18.3,18.3,11.9,66.4,0,0,,0,0,29.9,20.3,319,1014.5,22.8,16,8,0,0,,Partially cloudy,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T07:00:00,19,19,12.4,65.58,0,0,,0,0,29.5,24.6,329,1014.6,22.8,16,43,0.2,0,,Partially cloudy,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T08:00:00,20.3,20.3,13,62.53,0,0,,0,0,33.8,24,335,1015,47.4,16,349,1.3,3,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New york queens,2024-07-01T09:00:00,21.8,21.8,13.5,59.28,0,0,,0,0,44.6,21.4,335,1015.3,50,16,498,1.8,5,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New york queens,2024-07-01T10:00:00,22.6,22.6,13.4,56.13,0,0,,0,0,47.8,25.4,4,1015.6,41.8,16,644,2.3,6,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New york queens,2024-07-01T11:00:00,23.3,23.3,13.9,55.58,0,0,,0,0,52.3,24.7,351,1016.5,82.5,16,556,2,6,,Partially cloudy,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
New york queens,2024-07-01T12:00:00,24.4,24.4,14.3,53.3,0,0,,0,0,50.3,30.3,1,1016.6,58.2,16,457,1.6,5,,Partially cloudy,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T13:00:00,25.2,25.2,13.7,48.98,0,0,,0,0,51.4,26.2,356,1016.9,50,16,491,1.8,5,,Partially cloudy,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T14:00:00,25.9,25.9,13.7,46.99,0,0,,0,0,52.8,30.4,9,1016.6,32.7,16,507,1.8,5,,Partially cloudy,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T15:00:00,26.4,26.4,13.8,45.67,0,0,,0,0,51,30.2,344,1016.7,32.7,16,747,2.7,7,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New york queens,2024-07-01T16:00:00,26.6,26.6,13,43.14,0,0,,0,0,49.6,26.8,3,1016.7,32.7,16,488,1.8,5,,Partially cloudy,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T17:00:00,26.4,26.4,13,43.72,0,0,,0,0,40,28,359,1016.9,22.8,16,35,0.1,0,,Partially cloudy,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T18:00:00,26.4,26.4,12.5,42.31,0,0,,0,0,36.1,18.2,11,1017.2,22.8,16,83,0.3,1,,Partially cloudy,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T19:00:00,26.5,26.5,12,40.59,0,0,,0,0,35.1,22.5,359,1017.9,22.8,16,17,0.1,0,,Partially cloudy,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T20:00:00,25.3,25.3,11.7,42.86,0,0,,0,0,23.8,17.5,356,1018.7,22.8,16,3,0,0,,Partially cloudy,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T21:00:00,24.3,24.3,12.2,46.57,0,0,,0,0,24.5,16.3,360,1019.2,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T22:00:00,24,24,12,46.82,0,0,,0,0,28.1,16.1,2,1020.1,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-01T23:00:00,23.3,23.3,10.3,43.59,0,0,,0,0,29.5,16.7,13,1020.5,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-02T00:00:00,22.9,22.9,8.9,40.88,0,0,,0,0,35.3,16.5,5,1020.7,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-02T01:00:00,22.4,22.4,8.6,41.17,0,0,,0,0,28.1,12.9,26,1020.8,10.6,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
New york queens,2024-07-02T02:00:00,20.7,20.7,10.1,50.56,0,0,,0,0,25.9,11,10,1021.1,37.5,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F6107,KNYC,72503014732"
