name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
NewYork,2024-01-01,27.2,14,20,27.6,14,20,15.2,75.8,0,0,0,,0,0,30.2,14.8,62.1,1016.5,11,2.7,171,14.7,7,10,2024-01-01T07:06:48,2024-01-01T17:53:02,0.67,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,VAID"
NewYork,2024-01-02,26.2,15,18.9,26.2,15,18.9,15.2,80.7,0,0,0,,0,0,30.6,13,80.4,1015.7,12.3,4.8,172.4,15,7,10,2024-01-02T07:07:07,2024-01-02T17:53:40,0.7,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2024-01-03,25,15,18.3,25,15,18.3,15.6,85.5,3,100,4.17,rain,0,0,32.8,14.8,57.8,1015.6,48.2,1.9,165.6,14.2,7,10,2024-01-03T07:07:24,2024-01-03T17:54:19,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42752099999,42662099999,42754099999,VAID"
NewYork,2024-01-04,19,16,17.4,19,16,17.4,15.3,87.7,0,0,0,,0,0,26.3,14.8,50.8,1016.2,83.1,1.8,129.9,11.2,5,10,2024-01-04T07:07:40,2024-01-04T17:54:59,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42752099999,42662099999,42754099999,VAID"
NewYork,2024-01-05,20.2,15,16.4,20.2,15,16.4,14.6,89.2,0,0,0,,0,0,26.6,11.2,50.7,1016.6,83.8,2.5,144.8,12.4,6,10,2024-01-05T07:07:55,2024-01-05T17:55:38,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2024-01-06,21,13,16.1,21,13,16.1,13.2,83.8,0,0,0,,0,0,27,14.8,61.6,1017.9,54.6,3.1,155.7,13.4,6,10,2024-01-06T07:08:09,2024-01-06T17:56:19,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2024-01-07,20,13,15.8,20,13,15.8,14.2,90.1,5,100,8.33,rain,0,0,24.8,20.5,69.7,1018.4,62.5,1.7,100.7,8.7,4,10,2024-01-07T07:08:21,2024-01-07T17:56:59,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42752099999,42662099999,42754099999,VAID"
NewYork,2024-01-08,26,14,19.1,26,14,19.1,15.5,81.3,0,0,0,,0,0,25.2,16.6,96.4,1017.9,42.8,3.9,157.4,13.6,6,10,2024-01-08T07:08:32,2024-01-08T17:57:40,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2024-01-09,27,15,19.6,27,15,19.6,15,77.6,0,0,0,,0,0,28.1,18,88.1,1018,25.4,3.5,169,14.5,7,10,2024-01-09T07:08:42,2024-01-09T17:58:21,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2024-01-10,23,15,17.8,23,15,17.8,15.4,86.2,0,0,0,,0,0,28.4,14.8,54.1,1018.2,55.3,1.8,155.3,13.5,6,10,2024-01-10T07:08:51,2024-01-10T17:59:03,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42752099999,42662099999,42754099999,VAID"
