iter	MultiRMSE
0	0.2726151137
1	0.2679561862
2	0.2642183274
3	0.2608457414
4	0.2581740157
5	0.2558322823
6	0.2537114669
7	0.2519162535
8	0.2504282458
9	0.2493041146
10	0.2478750029
11	0.2466950264
12	0.2456368218
13	0.2447657004
14	0.2437436371
15	0.2429870584
16	0.242365087
17	0.2418193333
18	0.2412462819
19	0.2405046153
20	0.2399453374
21	0.2394294923
22	0.2390864208
23	0.2385641931
24	0.2381877187
25	0.2377923026
26	0.237201968
27	0.2366118797
28	0.2363076547
29	0.2359633759
30	0.2357460726
31	0.235493902
32	0.2350275251
33	0.2348557931
34	0.234431945
35	0.2339279003
36	0.2337893647
37	0.2333644114
38	0.2330842015
39	0.2328477282
40	0.2323875715
41	0.2320534099
42	0.2318380153
43	0.2317227195
44	0.2315046903
45	0.2312148379
46	0.23103811
47	0.230849824
48	0.2305614812
49	0.2303938477
50	0.2302396702
51	0.2300127676
52	0.2297952943
53	0.229586424
54	0.2294112404
55	0.2292496037
56	0.2291716987
57	0.2290139751
58	0.2287731061
59	0.2285590271
60	0.2283246717
61	0.2281931217
62	0.2279832061
63	0.2276594926
64	0.2275491439
65	0.2274513988
66	0.2273078166
67	0.2270747301
68	0.2269589629
69	0.2268332552
70	0.2267141634
71	0.2265320871
72	0.2264604973
73	0.2263374982
74	0.2262141388
75	0.2260483071
76	0.225882528
77	0.2257209846
78	0.225640421
79	0.2254693754
80	0.2253349799
81	0.2252447463
82	0.2250739889
83	0.2250100732
84	0.2248759163
85	0.2247409485
86	0.2245660067
87	0.2244195873
88	0.2243885136
89	0.2242410853
90	0.2240504689
91	0.2239380805
92	0.223797099
93	0.2236406914
94	0.2234799535
95	0.2233190003
96	0.2231605508
97	0.2230182904
98	0.2229380651
99	0.2227911574
100	0.2226264477
101	0.2225278424
102	0.2223786539
103	0.2223058535
104	0.2221971296
105	0.222136811
106	0.2220126293
107	0.221893465
108	0.2217828295
109	0.221630729
110	0.2215728124
111	0.2214846453
112	0.2212286608
113	0.22115336
114	0.2209260465
115	0.2207655113
116	0.2205989475
117	0.2203878949
118	0.220241011
119	0.2201377723
120	0.2200392063
121	0.2199046056
122	0.2197732185
123	0.2195101575
124	0.219376823
125	0.2191411587
126	0.2190414733
127	0.2189251043
128	0.2188234589
129	0.2187007326
130	0.2185804196
131	0.2184381602
132	0.2182549497
133	0.2181851628
134	0.2181437528
135	0.2179848182
136	0.2178665275
137	0.2175898361
138	0.2175032153
139	0.2174088538
140	0.2172316978
141	0.2170293779
142	0.216843542
143	0.2167386934
144	0.2165785316
145	0.2165036269
146	0.2164306435
147	0.2163649118
148	0.2162002912
149	0.2161100502
150	0.2159918359
151	0.2159074472
152	0.2156793916
153	0.2155554402
154	0.215416076
155	0.2153293811
156	0.2152523402
157	0.2151529746
158	0.2150233738
159	0.2149109517
160	0.2147315273
161	0.2146682448
162	0.2145484422
163	0.2144610718
164	0.2143475608
165	0.2142753462
166	0.2141971855
167	0.2140069741
168	0.2138775433
169	0.213790636
170	0.2136678039
171	0.2135761212
172	0.2133820299
173	0.2133021568
174	0.2132140664
175	0.2131163156
176	0.2130212497
177	0.2129628219
178	0.2128769734
179	0.2127806493
180	0.2127030799
181	0.2125918573
182	0.2124887826
183	0.2123966074
184	0.2122886023
185	0.2122121528
186	0.2121170347
187	0.212055641
188	0.2119653706
189	0.2119011996
190	0.2117750386
191	0.2117224265
192	0.2116346666
193	0.2114927053
194	0.2114407408
195	0.2112954054
196	0.211186847
197	0.2111079077
198	0.2110516872
199	0.2109195307
