iter	Passed	Remaining
0	10	2007
1	17	1772
2	26	1747
3	34	1673
4	42	1658
5	53	1730
6	64	1765
7	71	1712
8	79	1678
9	86	1645
10	95	1638
11	104	1631
12	112	1612
13	120	1602
14	128	1586
15	138	1597
16	149	1607
17	157	1594
18	166	1589
19	175	1582
20	184	1575
21	194	1571
22	204	1575
23	215	1582
24	225	1578
25	235	1573
26	244	1569
27	254	1564
28	263	1552
29	272	1541
30	279	1525
31	288	1513
32	299	1514
33	305	1492
34	313	1477
35	323	1472
36	330	1456
37	337	1438
38	344	1422
39	351	1405
40	359	1392
41	366	1379
42	373	1364
43	380	1348
44	387	1334
45	394	1321
46	401	1308
47	409	1295
48	416	1284
49	424	1272
50	430	1259
51	438	1247
52	444	1233
53	452	1222
54	459	1210
55	466	1199
56	472	1186
57	479	1174
58	491	1173
59	502	1172
60	512	1166
61	520	1159
62	530	1154
63	540	1148
64	547	1136
65	554	1124
66	561	1114
67	569	1104
68	575	1093
69	582	1082
70	589	1071
71	597	1061
72	603	1050
73	609	1038
74	617	1028
75	624	1019
76	631	1009
77	639	999
78	645	988
79	652	978
80	660	969
81	667	960
82	674	951
83	681	941
84	688	932
85	696	922
86	703	913
87	710	904
88	716	893
89	723	884
90	730	874
91	736	864
92	743	855
93	751	847
94	758	837
95	765	829
96	772	820
97	779	811
98	786	802
99	793	793
100	801	785
101	808	776
102	815	767
103	822	759
104	829	750
105	835	741
106	841	731
107	849	723
108	856	715
109	863	706
110	869	697
111	876	688
112	882	679
113	889	671
114	898	664
115	905	655
116	913	647
117	920	639
118	930	633
119	937	625
120	945	617
121	952	608
122	963	602
123	972	596
124	979	587
125	987	579
126	995	572
127	1002	563
128	1009	555
129	1017	547
130	1024	539
131	1032	531
132	1041	524
133	1048	516
134	1055	508
135	1062	499
136	1069	491
137	1077	484
138	1084	476
139	1092	468
140	1099	460
141	1108	452
142	1115	444
143	1125	437
144	1135	430
145	1144	423
146	1150	414
147	1157	406
148	1164	398
149	1171	390
150	1178	382
151	1184	374
152	1192	366
153	1199	358
154	1206	350
155	1213	342
156	1220	334
157	1227	326
158	1234	318
159	1241	310
160	1248	302
161	1255	294
162	1262	286
163	1269	278
164	1276	270
165	1282	262
166	1288	254
167	1296	246
168	1304	239
169	1312	231
170	1319	223
171	1326	215
172	1335	208
173	1342	200
174	1348	192
175	1356	184
176	1362	177
177	1369	169
178	1376	161
179	1382	153
180	1389	145
181	1397	138
182	1404	130
183	1411	122
184	1418	115
185	1425	107
186	1434	99
187	1441	92
188	1450	84
189	1461	76
190	1470	69
191	1477	61
192	1485	53
193	1493	46
194	1500	38
195	1508	30
196	1517	23
197	1524	15
198	1531	7
199	1538	0
